YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2023,2,31000,49499,Craigslist
2024,1,31000,46922,Craigslist
2023,2,8462,46988,Cargurus
2024,1,31109,46922,Cargurus
2019,6,68000,30422,Craigslist
2020,5,77000,37995,Craigslist
2022,3,40000,40998,Craigslist
2021,4,51000,39985,Craigslist
2022,3,40000,48995,Craigslist
2022,3,48000,39719,Craigslist
2020,5,77000,37995,Craigslist
2021,4,31167,39998,Autotrader
2019,6,77656,28500,Autotrader
2017,8,25000,30999,Autotrader
2023,2,64681,43498,Cargurus
2023,2,26000,41990,Carvana
2024,1,23000,43590,Carvana
2024,1,21000,43590,Carvana
2024,1,27000,42990,Carvana
2025,0,45445,0,Toyota