Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/16/25,Thursday,43.35,Grocery,Food,Credit,Need
1/16/25,Thursday,1725.13,Auto Repair,Travel,Credit,Need
1/16/25,Thursday,30.17,Grocery,Food,Debit,Need
1/16/25,Thursday,57.69,Gas,Travel,Credit,Need
1/16/25,Thursday,10.00,Pool,Entertainment and Recreation,Cash,Want
1/17/25,Friday,16.82,Grocery,Food,Debit,Need
1/18/25,Saturday,30.36,Auto Safety,Travel,Credit,Need
1/19/25,Sunday,25.00,BBQ,Food,Debit,Want
1/20/25,Monday,21.00,Gift,Entertainment and Recreation,Debit,Want
1/20/25,Monday,16.23,Gift,Entertainment and Recreation,Debit,Want
1/20/25,Monday,186.85,Grocery,Food,Debit,Need
1/21/25,Tuesday,8.44,Snacks,Food,Debit,Want
1/21/25,Tuesday,5.80,Kleenex,Housing,Debit,Need
1/22/25,Wednesday,24.00,Burritos,Food,Debit,Need